round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Final,Rafael Nadal,7-5 3-6 7-6(3) 3-6 6-2,2009,m,Rafael Nadal,Roger Federer,ESP,SUI,0.64,0.52,4,11,4,6,0.66,0.73,0.48,0.45,196,204,179,183,143,156,0.44,0.32,0.40,0.41,173,174,50,71,41,64,0.58,0.72
Final,Roger Federer,6-3 6-4 7-6(11),2010,m,Roger Federer,Andy Murray,SUI,GBR,0.66,0.57,11,10,2,4,0.72,0.69,0.61,0.51,209,214,191,196,153,151,0.33,0.25,0.37,0.32,116,100,46,29,42,36,0.72,0.61
Final,Novak Djokovic,6-4 6-2 6-3,2011,m,Novak Djokovic,Andy Murray,SRB,GBR,0.67,0.53,6,6,0,4,0.70,0.64,0.60,0.31,208,216,192,194,0,0,0.39,0.75,0.51,0.33,106,78,26,21,33,47,0.64,0.39
Final,Novak Djokovic,5-7 6-4 6-2 6-7(5) 7-5,2012,m,Novak Djokovic,Rafael Nadal,SRB,ESP,0.59,0.67,9,10,2,4,0.68,0.66,0.63,0.45,202,204,190,183,150,136,0.35,0.67,0.41,0.34,193,176,57,44,69,71,0.74,0.84
Final,Novak Djokovic,6-7(2) 7-6(3) 6-3 6-2,2013,m,Novak Djokovic,Andy Murray,SRB,GBR,0.63,0.60,8,7,3,5,0.75,0.81,0.66,0.46,209,211,188,186,155,133,0.27,0.00,0.33,0.28,139,126,47,29,61,46,0.85,0.60
Final,Roger Federer,7-6(3) 6-4 6-2,2004,m,Roger Federer,Marat Safin,SUI,RUS,0.53,0.49,8,3,2,5,0.75,0.63,0.60,0.47,201,209,178,187,140,140,0.28,0.67,0.45,0.32,113,93,40,19,28,41,0.68,0.55
Final,Marat Safin,1-6 6-3 6-4 6-4,2005,m,Marat Safin,Lleyton Hewitt,RUS,AUS,0.60,0.49,18,7,1,3,0.73,0.70,0.57,0.52,215,202,201,183,148,148,0.36,0.38,0.39,0.34,122,113,54,33,36,22,0.60,0.59
Final,Roger Federer,5-7 7-5 6-0 6-2,2006,m,Roger Federer,Marcos Baghdatis,SUI,CYP,0.53,0.48,11,6,6,2,0.71,0.71,0.51,0.37,209,217,185,197,146,146,0.67,0.30,0.46,0.38,142,116,50,34,48,48,0.78,0.52
Final,Roger Federer,7-6(2) 6-4 6-4,2007,m,Roger Federer,Fernando Gonzalez,SUI,CHI,0.58,0.61,5,6,1,3,0.82,0.69,0.78,0.46,,,,,,,0.30,1.00,0.40,0.20,120,93,45,31,19,28,0.79,0.64
Final,Novak Djokovic,4-6 6-4 6-3 7-6(2),2008,m,Novak Djokovic,Jo-Wilfried Tsonga,SRB,FRA,0.56,0.71,11,15,2,2,0.78,0.71,0.63,0.48,209,218,192,189,147,147,0.33,0.40,0.36,0.29,136,122,46,44,35,41,0.79,0.52
Final,Stanislas Wawrinka,6-3 6-2 3-6 6-3,2014,m,Stanislas Wawrinka,Rafael Nadal,SUI,ESP,0.55,0.78,19,1,2,3,0.87,0.60,0.51,0.42,217,200,192,162,134,134,0.33,0.33,0.44,0.29,116,88,53,19,49,32,0.92,0.63
